state,box0,box1,box2,box3,box4,box5,box6,box7,box8
010020201,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
010020000,-0.0025308965198650533,-0.5,-2.39955611104846e-05,-0.005024703198190568,0.0,-4.9406396381136784e-05,0.014988002219444758,0.0,-4.9875e-05
010021200,-0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.515,0.0
212120121,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
200120121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101212212,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101200212,0.0,0.0,0.0,0.0,0.00625,0.00625,0.0,0.0,0.0
001000212,0.0,6.269531250000001e-05,0.0,0.015,0.0,0.0075626953125,-0.5,0.0,0.0
121122210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
120120210,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000120210,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000020010,0.02247848976003277,4.773660524287814e-06,3.898194455972031e-06,0.0075853042131577685,-0.5,0.007629614760032768,7.036421265417326e-06,0.0,0.014956979520065536
202211121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202011120,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0
012010221,0.015,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0
002010201,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
002100012,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
002100000,0.01248753125,-0.0050249375,-0.5,0.0,-0.003673875,0.0,-0.0022057500828855515,-0.00236134375,0.015
122212110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102202110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
002002110,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002000010,0.01827584375,0.0065516875,0.0,1.5113641938281247e-06,-0.004999244317903087,0.00015112499999999997,0.012500377841048457,-0.5,0.0150755625
112020012,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
112020000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.015
